# ai-atlas vektor uji lintas bahasa — .Deckyx
# berkas: fuzzy_transcendental.tsv
# keterbandingan: NearlyEqual(4)
# Keanggotaan Gauss dan sigmoid; memakai exp, yang tidak diwajibkan IEEE-754 tepat
# seluruh pecahan ditulis sebagai 16 digit heksadesimal pola bit IEEE-754
# kolom: shape	p1_hex	p2_hex	x_hex	degree_hex
gaussian	4014000000000000	4000000000000000	4008000000000000	3fe368b2fc6f960a
gaussian	0000000000000000	3ff0000000000000	4008000000000000	3f86c0504695c417
gaussian	c000000000000000	3fe0000000000000	4008000000000000	3b6d257d547e083f
sigmoid	4000000000000000	4014000000000000	4008000000000000	3f926afa1e43c2c3
sigmoid	bff8000000000000	0000000000000000	4008000000000000	3f8680527a405c3b
sigmoid	3fe0000000000000	4008000000000000	4008000000000000	3fe0000000000000
gaussian	4014000000000000	4000000000000000	400c000000000000	3fe827a561889716
gaussian	0000000000000000	3ff0000000000000	400c000000000000	3f61eb805a03296c
gaussian	c000000000000000	3fe0000000000000	400c000000000000	3a7a4c9bf9a78412
sigmoid	4000000000000000	4014000000000000	400c000000000000	3fa848343c905445
sigmoid	bff8000000000000	0000000000000000	400c000000000000	3f7561b2d22850c0
sigmoid	3fe0000000000000	4008000000000000	400c000000000000	3fe1fd5992bc4b83
gaussian	4014000000000000	4000000000000000	4010000000000000	3fec3d6a24ed8222
gaussian	0000000000000000	3ff0000000000000	4010000000000000	3f35fc21041027ad
gaussian	c000000000000000	3fe0000000000000	4010000000000000	397175af0cf60ec5
sigmoid	4000000000000000	4014000000000000	4010000000000000	3fbe84152bac31ae
sigmoid	bff8000000000000	0000000000000000	4010000000000000	3f64417772fa800f
sigmoid	3fe0000000000000	4008000000000000	4010000000000000	3fe3eb2fd4d34391
gaussian	4014000000000000	4000000000000000	4012000000000000	3fef03f56a88b5d8
gaussian	0000000000000000	3ff0000000000000	4012000000000000	3f05017922d4b0f7
gaussian	c000000000000000	3fe0000000000000	4012000000000000	38510e85bfca7eb3
sigmoid	4000000000000000	4014000000000000	4012000000000000	3fd136561454ba86
sigmoid	bff8000000000000	0000000000000000	4012000000000000	3f53294815ced7f2
sigmoid	3fe0000000000000	4008000000000000	4012000000000000	3fe5bbd4f7a323ec
gaussian	4014000000000000	4000000000000000	4014000000000000	3ff0000000000000
gaussian	0000000000000000	3ff0000000000000	4014000000000000	3ecf42ed3f68e690
gaussian	c000000000000000	3fe0000000000000	4014000000000000	3718851d84118908
sigmoid	4000000000000000	4014000000000000	4014000000000000	3fe0000000000000
sigmoid	bff8000000000000	0000000000000000	4014000000000000	3f421d0b15711bf3
sigmoid	3fe0000000000000	4008000000000000	4014000000000000	3fe764d4f5d5a2bd
gaussian	4014000000000000	4000000000000000	4016000000000000	3fef03f56a88b5d8
gaussian	0000000000000000	3ff0000000000000	4016000000000000	3e921dd72e8b8a27
gaussian	c000000000000000	3fe0000000000000	4016000000000000	35c9ef43eeb7c3f7
sigmoid	4000000000000000	4014000000000000	4016000000000000	3fe764d4f5d5a2bd
sigmoid	bff8000000000000	0000000000000000	4016000000000000	3f311e0be0e88435
sigmoid	3fe0000000000000	4008000000000000	4016000000000000	3fe8dfa3f55dc7ca
gaussian	4014000000000000	4000000000000000	4018000000000000	3fec3d6a24ed8222
gaussian	0000000000000000	3ff0000000000000	4018000000000000	3e505a628c699fa1
gaussian	c000000000000000	3fe0000000000000	4018000000000000	34642eb9f39afb0b
sigmoid	4000000000000000	4014000000000000	4018000000000000	3fec2f7d5a8a79c9
sigmoid	bff8000000000000	0000000000000000	4018000000000000	3f202c6f5633e446
sigmoid	3fe0000000000000	4008000000000000	4018000000000000	3fea2991f2a97914
gaussian	4014000000000000	4000000000000000	401a000000000000	3fe827a561889716
gaussian	0000000000000000	3ff0000000000000	401a000000000000	3e06fdfb3b3a9e2f
gaussian	c000000000000000	3fe0000000000000	401a000000000000	32e71ca83d4b8e80
sigmoid	4000000000000000	4014000000000000	401a000000000000	3fee7b7cbc36fabd
sigmoid	bff8000000000000	0000000000000000	401a000000000000	3f0e8fb8a3233ab4
sigmoid	3fe0000000000000	4008000000000000	401a000000000000	3feb433285c6100b
gaussian	4014000000000000	4000000000000000	401c000000000000	3fe368b2fc6f960a
gaussian	0000000000000000	3ff0000000000000	401c000000000000	3db92d07d6f15a44
gaussian	c000000000000000	3fe0000000000000	401c000000000000	31537916a222f236
sigmoid	4000000000000000	4014000000000000	401c000000000000	3fef6ca82f0de1ea
sigmoid	bff8000000000000	0000000000000000	401c000000000000	3efcdf8e48f306f7
sigmoid	3fe0000000000000	4008000000000000	401c000000000000	3fec2f7d5a8a79c9
gaussian	4014000000000000	4000000000000000	401e000000000000	3fdd4d244cf4ea9e
gaussian	0000000000000000	3ff0000000000000	401e000000000000	3d657822cd9621de
gaussian	c000000000000000	3fe0000000000000	401e000000000000	2fa824a8e2512510
sigmoid	4000000000000000	4014000000000000	401e000000000000	3fefc92c130538e2
sigmoid	bff8000000000000	0000000000000000	401e000000000000	3eeb47261fc59032
sigmoid	3fe0000000000000	4008000000000000	401e000000000000	3fecf2e5add226b5
gaussian	4014000000000000	4000000000000000	4020000000000000	3fd4c71b2477ab20
gaussian	0000000000000000	3ff0000000000000	4020000000000000	3d0c8464f7616468
gaussian	c000000000000000	3fe0000000000000	4020000000000000	2de6061812054cfa
sigmoid	4000000000000000	4014000000000000	4020000000000000	3fefebbe888d0581
sigmoid	bff8000000000000	0000000000000000	4020000000000000	3ed9c541dac42246
sigmoid	3fe0000000000000	4008000000000000	4020000000000000	3fed9291ddb596f8
gaussian	4014000000000000	4000000000000000	4021000000000000	3fcbae93b5663055
gaussian	0000000000000000	3ff0000000000000	4021000000000000	3cad7ffe1f368722
gaussian	c000000000000000	3fe0000000000000	4021000000000000	2c0d903f442e9815
sigmoid	4000000000000000	4014000000000000	4021000000000000	3feff889631d483c
sigmoid	bff8000000000000	0000000000000000	4021000000000000	3ec858aae338e081
sigmoid	3fe0000000000000	4008000000000000	4021000000000000	3fee13c52952723c
gaussian	4014000000000000	4000000000000000	4022000000000000	3fc152aaa3bf81cc
gaussian	0000000000000000	3ff0000000000000	4022000000000000	3c47c432199df55a
gaussian	c000000000000000	3fe0000000000000	4022000000000000	2a1d32b363b58467
sigmoid	4000000000000000	4014000000000000	4022000000000000	3feffd40b84505a2
sigmoid	bff8000000000000	0000000000000000	4022000000000000	3eb7003763df2259
sigmoid	3fe0000000000000	4008000000000000	4022000000000000	3fee7b7cbc36fabd
gaussian	4014000000000000	4000000000000000	4023000000000000	3fb45e031007d65f
gaussian	0000000000000000	3ff0000000000000	4023000000000000	3bddd2dc8e6e9c57
gaussian	c000000000000000	3fe0000000000000	4023000000000000	28153799c1650ca8
sigmoid	4000000000000000	4014000000000000	4023000000000000	3feffefd390a9cc1
sigmoid	bff8000000000000	0000000000000000	4023000000000000	3ea5bacc057c3fbb
sigmoid	3fe0000000000000	4008000000000000	4023000000000000	3feece37d7f30e3d
gaussian	4014000000000000	4000000000000000	4024000000000000	3fa67ee6d9ff847c
gaussian	0000000000000000	3ff0000000000000	4024000000000000	3b6d257d547e083f
gaussian	c000000000000000	3fe0000000000000	4024000000000000	25f6b0028fe3a3b8
sigmoid	4000000000000000	4014000000000000	4024000000000000	3fefffa0cb346f89
sigmoid	bff8000000000000	0000000000000000	4024000000000000	3e94875c38cc6b4a
sigmoid	3fe0000000000000	4008000000000000	4024000000000000	3fef0fdfcbf19a93
gaussian	4014000000000000	4000000000000000	4025000000000000	3f97575b95bca50f
gaussian	0000000000000000	3ff0000000000000	4025000000000000	3af62f0ec9b04622
gaussian	c000000000000000	3fe0000000000000	4025000000000000	23c1d96f12e8ee34
sigmoid	4000000000000000	4014000000000000	4025000000000000	3fefffdcf97e0f4a
sigmoid	bff8000000000000	0000000000000000	4025000000000000	3e8364e9e1e14222
sigmoid	3fe0000000000000	4008000000000000	4025000000000000	3fef43c4f67606ed
gaussian	4014000000000000	4000000000000000	4026000000000000	3f86c0504695c417
gaussian	0000000000000000	3ff0000000000000	4026000000000000	3a7a4c9bf9a78412
gaussian	c000000000000000	3fe0000000000000	4026000000000000	2174aa16b0ce0f41
sigmoid	4000000000000000	4014000000000000	4026000000000000	3feffff31d5f129e
sigmoid	bff8000000000000	0000000000000000	4026000000000000	3e725284c33d9b27
sigmoid	3fe0000000000000	4008000000000000	4026000000000000	3fef6ca82f0de1ea
gaussian	4014000000000000	4000000000000000	4027000000000000	3f74d5215032c158
gaussian	0000000000000000	3ff0000000000000	4027000000000000	39f84815a7ba04e7
gaussian	c000000000000000	3fe0000000000000	4027000000000000	1f119a14c98634c6
sigmoid	4000000000000000	4014000000000000	4027000000000000	3feffffb427f64dc
sigmoid	bff8000000000000	0000000000000000	4027000000000000	3e614f49d26804a2
sigmoid	3fe0000000000000	4008000000000000	4027000000000000	3fef8cca6fb927e3
gaussian	4014000000000000	4000000000000000	4028000000000000	3f61eb805a03296c
gaussian	0000000000000000	3ff0000000000000	4028000000000000	397175af0cf60ec5
gaussian	c000000000000000	3fe0000000000000	4028000000000000	1c961013a44a98a8
sigmoid	4000000000000000	4014000000000000	4028000000000000	3feffffe4193a878
sigmoid	bff8000000000000	0000000000000000	4028000000000000	3e505a62883beeb6
sigmoid	3fe0000000000000	4008000000000000	4028000000000000	3fefa5feb616fe8f
