# ai-atlas vektor uji lintas bahasa — .Deckyx
# berkas: certainty.tsv
# keterbandingan: BitExact
# Certainty factor MYCIN: kombinasi paralel, berantai, premis AND dan OR
# seluruh pecahan ditulis sebagai 16 digit heksadesimal pola bit IEEE-754
# kolom: op	a_hex	b_hex	result_hex
or	bfe0000000000000	bff0000000000000	bfe0000000000000
parallel	bfe0000000000000	bfed70a3d70a3d71	bfeeb851eb851eb8
sequential	bfe0000000000000	bfed70a3d70a3d71	8000000000000000
and	bfe0000000000000	bfed70a3d70a3d71	bfed70a3d70a3d71
or	bfe0000000000000	bfed70a3d70a3d71	bfe0000000000000
parallel	bfe0000000000000	bfe8000000000000	bfec000000000000
sequential	bfe0000000000000	bfe8000000000000	8000000000000000
and	bfe0000000000000	bfe8000000000000	bfe8000000000000
or	bfe0000000000000	bfe8000000000000	bfe0000000000000
parallel	bfe0000000000000	bfe0000000000000	bfe8000000000000
sequential	bfe0000000000000	bfe0000000000000	8000000000000000
and	bfe0000000000000	bfe0000000000000	bfe0000000000000
or	bfe0000000000000	bfe0000000000000	bfe0000000000000
parallel	bfe0000000000000	bfd3333333333333	bfe4cccccccccccd
sequential	bfe0000000000000	bfd3333333333333	8000000000000000
and	bfe0000000000000	bfd3333333333333	bfe0000000000000
or	bfe0000000000000	bfd3333333333333	bfd3333333333333
parallel	bfe0000000000000	bf847ae147ae147b	bfe028f5c28f5c29
sequential	bfe0000000000000	bf847ae147ae147b	8000000000000000
and	bfe0000000000000	bf847ae147ae147b	bfe0000000000000
or	bfe0000000000000	bf847ae147ae147b	bf847ae147ae147b
parallel	bfe0000000000000	0000000000000000	bfe0000000000000
sequential	bfe0000000000000	0000000000000000	8000000000000000
and	bfe0000000000000	0000000000000000	bfe0000000000000
or	bfe0000000000000	0000000000000000	0000000000000000
parallel	bfe0000000000000	3f847ae147ae147b	bfdfad40a57eb503
sequential	bfe0000000000000	3f847ae147ae147b	bf747ae147ae147b
and	bfe0000000000000	3f847ae147ae147b	bfe0000000000000
or	bfe0000000000000	3f847ae147ae147b	3f847ae147ae147b
parallel	bfe0000000000000	3fd3333333333333	bfd2492492492493
sequential	bfe0000000000000	3fd3333333333333	bfc3333333333333
and	bfe0000000000000	3fd3333333333333	bfe0000000000000
or	bfe0000000000000	3fd3333333333333	3fd3333333333333
parallel	bfe0000000000000	3fe0000000000000	0000000000000000
sequential	bfe0000000000000	3fe0000000000000	bfd0000000000000
and	bfe0000000000000	3fe0000000000000	bfe0000000000000
or	bfe0000000000000	3fe0000000000000	3fe0000000000000
parallel	bfe0000000000000	3fe947ae147ae148	3fe28f5c28f5c290
sequential	bfe0000000000000	3fe947ae147ae148	bfd947ae147ae148
and	bfe0000000000000	3fe947ae147ae148	bfe0000000000000
or	bfe0000000000000	3fe947ae147ae148	3fe947ae147ae148
parallel	bfe0000000000000	3fed70a3d70a3d71	3feae147ae147ae2
sequential	bfe0000000000000	3fed70a3d70a3d71	bfdd70a3d70a3d71
and	bfe0000000000000	3fed70a3d70a3d71	bfe0000000000000
or	bfe0000000000000	3fed70a3d70a3d71	3fed70a3d70a3d71
parallel	bfe0000000000000	3ff0000000000000	3ff0000000000000
sequential	bfe0000000000000	3ff0000000000000	bfe0000000000000
and	bfe0000000000000	3ff0000000000000	bfe0000000000000
or	bfe0000000000000	3ff0000000000000	3ff0000000000000
parallel	bfd3333333333333	bff0000000000000	bff0000000000000
sequential	bfd3333333333333	bff0000000000000	8000000000000000
and	bfd3333333333333	bff0000000000000	bff0000000000000
or	bfd3333333333333	bff0000000000000	bfd3333333333333
parallel	bfd3333333333333	bfed70a3d70a3d71	bfee353f7ced9168
sequential	bfd3333333333333	bfed70a3d70a3d71	8000000000000000
and	bfd3333333333333	bfed70a3d70a3d71	bfed70a3d70a3d71
or	bfd3333333333333	bfed70a3d70a3d71	bfd3333333333333
parallel	bfd3333333333333	bfe8000000000000	bfea666666666666
sequential	bfd3333333333333	bfe8000000000000	8000000000000000
and	bfd3333333333333	bfe8000000000000	bfe8000000000000
or	bfd3333333333333	bfe8000000000000	bfd3333333333333
parallel	bfd3333333333333	bfe0000000000000	bfe4cccccccccccc
sequential	bfd3333333333333	bfe0000000000000	8000000000000000
and	bfd3333333333333	bfe0000000000000	bfe0000000000000
or	bfd3333333333333	bfe0000000000000	bfd3333333333333
parallel	bfd3333333333333	bfd3333333333333	bfe051eb851eb852
sequential	bfd3333333333333	bfd3333333333333	8000000000000000
and	bfd3333333333333	bfd3333333333333	bfd3333333333333
or	bfd3333333333333	bfd3333333333333	bfd3333333333333
parallel	bfd3333333333333	bf847ae147ae147b	bfd3a5e353f7ced9
sequential	bfd3333333333333	bf847ae147ae147b	8000000000000000
and	bfd3333333333333	bf847ae147ae147b	bfd3333333333333
or	bfd3333333333333	bf847ae147ae147b	bf847ae147ae147b
parallel	bfd3333333333333	0000000000000000	bfd3333333333333
sequential	bfd3333333333333	0000000000000000	8000000000000000
and	bfd3333333333333	0000000000000000	bfd3333333333333
or	bfd3333333333333	0000000000000000	0000000000000000
parallel	bfd3333333333333	3f847ae147ae147b	bfd2bf5a814afd6a
sequential	bfd3333333333333	3f847ae147ae147b	bf689374bc6a7efa
and	bfd3333333333333	3f847ae147ae147b	bfd3333333333333
or	bfd3333333333333	3f847ae147ae147b	3f847ae147ae147b
parallel	bfd3333333333333	3fd3333333333333	0000000000000000
sequential	bfd3333333333333	3fd3333333333333	bfb70a3d70a3d70a
and	bfd3333333333333	3fd3333333333333	bfd3333333333333
or	bfd3333333333333	3fd3333333333333	3fd3333333333333
parallel	bfd3333333333333	3fe0000000000000	3fd2492492492493
sequential	bfd3333333333333	3fe0000000000000	bfc3333333333333
and	bfd3333333333333	3fe0000000000000	bfd3333333333333
or	bfd3333333333333	3fe0000000000000	3fe0000000000000
parallel	bfd3333333333333	3fe947ae147ae148	3fe6666666666667
sequential	bfd3333333333333	3fe947ae147ae148	bfce5604189374bc
and	bfd3333333333333	3fe947ae147ae148	bfd3333333333333
or	bfd3333333333333	3fe947ae147ae148	3fe947ae147ae148
parallel	bfd3333333333333	3fed70a3d70a3d71	3fec57c57c57c57e
sequential	bfd3333333333333	3fed70a3d70a3d71	bfd1a9fbe76c8b44
and	bfd3333333333333	3fed70a3d70a3d71	bfd3333333333333
or	bfd3333333333333	3fed70a3d70a3d71	3fed70a3d70a3d71
parallel	bfd3333333333333	3ff0000000000000	3ff0000000000000
sequential	bfd3333333333333	3ff0000000000000	bfd3333333333333
and	bfd3333333333333	3ff0000000000000	bfd3333333333333
or	bfd3333333333333	3ff0000000000000	3ff0000000000000
parallel	bf847ae147ae147b	bff0000000000000	bff0000000000000
sequential	bf847ae147ae147b	bff0000000000000	8000000000000000
and	bf847ae147ae147b	bff0000000000000	bff0000000000000
or	bf847ae147ae147b	bff0000000000000	bf847ae147ae147b
parallel	bf847ae147ae147b	bfed70a3d70a3d71	bfed77318fc50482
sequential	bf847ae147ae147b	bfed70a3d70a3d71	8000000000000000
and	bf847ae147ae147b	bfed70a3d70a3d71	bfed70a3d70a3d71
or	bf847ae147ae147b	bfed70a3d70a3d71	bf847ae147ae147b
parallel	bf847ae147ae147b	bfe8000000000000	bfe8147ae147ae14
sequential	bf847ae147ae147b	bfe8000000000000	8000000000000000
and	bf847ae147ae147b	bfe8000000000000	bfe8000000000000
or	bf847ae147ae147b	bfe8000000000000	bf847ae147ae147b
parallel	bf847ae147ae147b	bfe0000000000000	bfe028f5c28f5c29
sequential	bf847ae147ae147b	bfe0000000000000	8000000000000000
and	bf847ae147ae147b	bfe0000000000000	bfe0000000000000
or	bf847ae147ae147b	bfe0000000000000	bf847ae147ae147b
parallel	bf847ae147ae147b	bfd3333333333333	bfd3a5e353f7ced9
sequential	bf847ae147ae147b	bfd3333333333333	8000000000000000
and	bf847ae147ae147b	bfd3333333333333	bfd3333333333333
or	bf847ae147ae147b	bfd3333333333333	bf847ae147ae147b
parallel	bf847ae147ae147b	bf847ae147ae147b	bf9460aa64c2f838
sequential	bf847ae147ae147b	bf847ae147ae147b	8000000000000000
and	bf847ae147ae147b	bf847ae147ae147b	bf847ae147ae147b
or	bf847ae147ae147b	bf847ae147ae147b	bf847ae147ae147b
parallel	bf847ae147ae147b	0000000000000000	bf847ae147ae147b
sequential	bf847ae147ae147b	0000000000000000	8000000000000000
and	bf847ae147ae147b	0000000000000000	bf847ae147ae147b
or	bf847ae147ae147b	0000000000000000	0000000000000000
parallel	bf847ae147ae147b	3f847ae147ae147b	0000000000000000
sequential	bf847ae147ae147b	3f847ae147ae147b	bf1a36e2eb1c432d
and	bf847ae147ae147b	3f847ae147ae147b	bf847ae147ae147b
or	bf847ae147ae147b	3f847ae147ae147b	3f847ae147ae147b
parallel	bf847ae147ae147b	3fd3333333333333	3fd2bf5a814afd6a
sequential	bf847ae147ae147b	3fd3333333333333	bf689374bc6a7efa
and	bf847ae147ae147b	3fd3333333333333	bf847ae147ae147b
or	bf847ae147ae147b	3fd3333333333333	3fd3333333333333
parallel	bf847ae147ae147b	3fe0000000000000	3fdfad40a57eb503
sequential	bf847ae147ae147b	3fe0000000000000	bf747ae147ae147b
and	bf847ae147ae147b	3fe0000000000000	bf847ae147ae147b
or	bf847ae147ae147b	3fe0000000000000	3fe0000000000000
parallel	bf847ae147ae147b	3fe947ae147ae148	3fe9364d9364d937
sequential	bf847ae147ae147b	3fe947ae147ae148	bf802de00d1b7176
and	bf847ae147ae147b	3fe947ae147ae148	bf847ae147ae147b
or	bf847ae147ae147b	3fe947ae147ae148	3fe947ae147ae148
parallel	bf847ae147ae147b	3fed70a3d70a3d71	3fed6a052bf5a815
sequential	bf847ae147ae147b	3fed70a3d70a3d71	bf82d77318fc5048
and	bf847ae147ae147b	3fed70a3d70a3d71	bf847ae147ae147b
or	bf847ae147ae147b	3fed70a3d70a3d71	3fed70a3d70a3d71
parallel	bf847ae147ae147b	3ff0000000000000	3ff0000000000000
sequential	bf847ae147ae147b	3ff0000000000000	bf847ae147ae147b
and	bf847ae147ae147b	3ff0000000000000	bf847ae147ae147b
or	bf847ae147ae147b	3ff0000000000000	3ff0000000000000
parallel	0000000000000000	bff0000000000000	bff0000000000000
sequential	0000000000000000	bff0000000000000	0000000000000000
and	0000000000000000	bff0000000000000	bff0000000000000
or	0000000000000000	bff0000000000000	0000000000000000
parallel	0000000000000000	bfed70a3d70a3d71	bfed70a3d70a3d71
sequential	0000000000000000	bfed70a3d70a3d71	0000000000000000
and	0000000000000000	bfed70a3d70a3d71	bfed70a3d70a3d71
or	0000000000000000	bfed70a3d70a3d71	0000000000000000
parallel	0000000000000000	bfe8000000000000	bfe8000000000000
sequential	0000000000000000	bfe8000000000000	0000000000000000
and	0000000000000000	bfe8000000000000	bfe8000000000000
or	0000000000000000	bfe8000000000000	0000000000000000
parallel	0000000000000000	bfe0000000000000	bfe0000000000000
sequential	0000000000000000	bfe0000000000000	0000000000000000
and	0000000000000000	bfe0000000000000	bfe0000000000000
or	0000000000000000	bfe0000000000000	0000000000000000
parallel	0000000000000000	bfd3333333333333	bfd3333333333333
sequential	0000000000000000	bfd3333333333333	0000000000000000
and	0000000000000000	bfd3333333333333	bfd3333333333333
or	0000000000000000	bfd3333333333333	0000000000000000
parallel	0000000000000000	bf847ae147ae147b	bf847ae147ae147b
sequential	0000000000000000	bf847ae147ae147b	0000000000000000
and	0000000000000000	bf847ae147ae147b	bf847ae147ae147b
or	0000000000000000	bf847ae147ae147b	0000000000000000
parallel	0000000000000000	0000000000000000	0000000000000000
sequential	0000000000000000	0000000000000000	0000000000000000
and	0000000000000000	0000000000000000	0000000000000000
or	0000000000000000	0000000000000000	0000000000000000
parallel	0000000000000000	3f847ae147ae147b	3f847ae147ae147b
sequential	0000000000000000	3f847ae147ae147b	0000000000000000
and	0000000000000000	3f847ae147ae147b	0000000000000000
or	0000000000000000	3f847ae147ae147b	3f847ae147ae147b
parallel	0000000000000000	3fd3333333333333	3fd3333333333333
sequential	0000000000000000	3fd3333333333333	0000000000000000
and	0000000000000000	3fd3333333333333	0000000000000000
or	0000000000000000	3fd3333333333333	3fd3333333333333
parallel	0000000000000000	3fe0000000000000	3fe0000000000000
sequential	0000000000000000	3fe0000000000000	0000000000000000
and	0000000000000000	3fe0000000000000	0000000000000000
or	0000000000000000	3fe0000000000000	3fe0000000000000
parallel	0000000000000000	3fe947ae147ae148	3fe947ae147ae148
sequential	0000000000000000	3fe947ae147ae148	0000000000000000
and	0000000000000000	3fe947ae147ae148	0000000000000000
or	0000000000000000	3fe947ae147ae148	3fe947ae147ae148
parallel	0000000000000000	3fed70a3d70a3d71	3fed70a3d70a3d71
sequential	0000000000000000	3fed70a3d70a3d71	0000000000000000
and	0000000000000000	3fed70a3d70a3d71	0000000000000000
or	0000000000000000	3fed70a3d70a3d71	3fed70a3d70a3d71
parallel	0000000000000000	3ff0000000000000	3ff0000000000000
sequential	0000000000000000	3ff0000000000000	0000000000000000
and	0000000000000000	3ff0000000000000	0000000000000000
or	0000000000000000	3ff0000000000000	3ff0000000000000
parallel	3f847ae147ae147b	bff0000000000000	bff0000000000000
sequential	3f847ae147ae147b	bff0000000000000	0000000000000000
and	3f847ae147ae147b	bff0000000000000	bff0000000000000
or	3f847ae147ae147b	bff0000000000000	3f847ae147ae147b
parallel	3f847ae147ae147b	bfed70a3d70a3d71	bfed6a052bf5a815
sequential	3f847ae147ae147b	bfed70a3d70a3d71	0000000000000000
and	3f847ae147ae147b	bfed70a3d70a3d71	bfed70a3d70a3d71
or	3f847ae147ae147b	bfed70a3d70a3d71	3f847ae147ae147b
parallel	3f847ae147ae147b	bfe8000000000000	bfe7eb50295fad41
sequential	3f847ae147ae147b	bfe8000000000000	0000000000000000
and	3f847ae147ae147b	bfe8000000000000	bfe8000000000000
or	3f847ae147ae147b	bfe8000000000000	3f847ae147ae147b
parallel	3f847ae147ae147b	bfe0000000000000	bfdfad40a57eb503
sequential	3f847ae147ae147b	bfe0000000000000	0000000000000000
and	3f847ae147ae147b	bfe0000000000000	bfe0000000000000
or	3f847ae147ae147b	bfe0000000000000	3f847ae147ae147b
parallel	3f847ae147ae147b	bfd3333333333333	bfd2bf5a814afd6a
sequential	3f847ae147ae147b	bfd3333333333333	0000000000000000
and	3f847ae147ae147b	bfd3333333333333	bfd3333333333333
or	3f847ae147ae147b	bfd3333333333333	3f847ae147ae147b
parallel	3f847ae147ae147b	bf847ae147ae147b	0000000000000000
sequential	3f847ae147ae147b	bf847ae147ae147b	0000000000000000
and	3f847ae147ae147b	bf847ae147ae147b	bf847ae147ae147b
or	3f847ae147ae147b	bf847ae147ae147b	3f847ae147ae147b
parallel	3f847ae147ae147b	0000000000000000	3f847ae147ae147b
sequential	3f847ae147ae147b	0000000000000000	0000000000000000
and	3f847ae147ae147b	0000000000000000	0000000000000000
or	3f847ae147ae147b	0000000000000000	3f847ae147ae147b
parallel	3f847ae147ae147b	3f847ae147ae147b	3f9460aa64c2f838
sequential	3f847ae147ae147b	3f847ae147ae147b	3f1a36e2eb1c432d
and	3f847ae147ae147b	3f847ae147ae147b	3f847ae147ae147b
or	3f847ae147ae147b	3f847ae147ae147b	3f847ae147ae147b
parallel	3f847ae147ae147b	3fd3333333333333	3fd3a5e353f7ced9
sequential	3f847ae147ae147b	3fd3333333333333	3f689374bc6a7efa
and	3f847ae147ae147b	3fd3333333333333	3f847ae147ae147b
or	3f847ae147ae147b	3fd3333333333333	3fd3333333333333
parallel	3f847ae147ae147b	3fe0000000000000	3fe028f5c28f5c29
sequential	3f847ae147ae147b	3fe0000000000000	3f747ae147ae147b
and	3f847ae147ae147b	3fe0000000000000	3f847ae147ae147b
or	3f847ae147ae147b	3fe0000000000000	3fe0000000000000
parallel	3f847ae147ae147b	3fe947ae147ae148	3fe958e219652bd4
sequential	3f847ae147ae147b	3fe947ae147ae148	3f802de00d1b7176
and	3f847ae147ae147b	3fe947ae147ae148	3f847ae147ae147b
or	3f847ae147ae147b	3fe947ae147ae148	3fe947ae147ae148
parallel	3f847ae147ae147b	3fed70a3d70a3d71	3fed77318fc50482
sequential	3f847ae147ae147b	3fed70a3d70a3d71	3f82d77318fc5048
and	3f847ae147ae147b	3fed70a3d70a3d71	3f847ae147ae147b
or	3f847ae147ae147b	3fed70a3d70a3d71	3fed70a3d70a3d71
parallel	3f847ae147ae147b	3ff0000000000000	3ff0000000000000
sequential	3f847ae147ae147b	3ff0000000000000	3f847ae147ae147b
and	3f847ae147ae147b	3ff0000000000000	3f847ae147ae147b
or	3f847ae147ae147b	3ff0000000000000	3ff0000000000000
parallel	3fd3333333333333	bff0000000000000	bff0000000000000
sequential	3fd3333333333333	bff0000000000000	0000000000000000
and	3fd3333333333333	bff0000000000000	bff0000000000000
or	3fd3333333333333	bff0000000000000	3fd3333333333333
parallel	3fd3333333333333	bfed70a3d70a3d71	bfec57c57c57c57e
sequential	3fd3333333333333	bfed70a3d70a3d71	0000000000000000
and	3fd3333333333333	bfed70a3d70a3d71	bfed70a3d70a3d71
or	3fd3333333333333	bfed70a3d70a3d71	3fd3333333333333
parallel	3fd3333333333333	bfe8000000000000	bfe4924924924925
sequential	3fd3333333333333	bfe8000000000000	0000000000000000
and	3fd3333333333333	bfe8000000000000	bfe8000000000000
