# ai-atlas vektor uji lintas bahasa — .Deckyx
# berkas: fuzzy_linear.tsv
# keterbandingan: BitExact
# Fungsi keanggotaan segitiga dan trapesium, seluruhnya aritmetika dasar
# seluruh pecahan ditulis sebagai 16 digit heksadesimal pola bit IEEE-754
# kolom: shape	p1_hex	p2_hex	p3_hex	p4_hex	x_hex	degree_hex
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	c008000000000000	0000000000000000
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	c008000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	c008000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	c008000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	c008000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	c006000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	c006000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	c006000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	c006000000000000	3fac71c71c71c71c
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	c006000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	c006000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	c006000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	c006000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	c004000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	c004000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	c004000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	c004000000000000	3fbc71c71c71c71c
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	c004000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	c004000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	c004000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	c004000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	c002000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	c002000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	c002000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	c002000000000000	3fc5555555555555
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	c002000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	c002000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	c002000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	c002000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	c000000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	c000000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	c000000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	c000000000000000	3fcc71c71c71c71c
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	c000000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	c000000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	c000000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	c000000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	bffc000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	bffc000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	bffc000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	bffc000000000000	3fd1c71c71c71c72
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	bffc000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	bffc000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	bffc000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	bffc000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	bff8000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	bff8000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	bff8000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	bff8000000000000	3fd5555555555555
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	bff8000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	bff8000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	bff8000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	bff8000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	bff4000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	bff4000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	bff4000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	bff4000000000000	3fd8e38e38e38e39
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	bff4000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	bff4000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	bff4000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	bff4000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	bff0000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	bff0000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	bff0000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	bff0000000000000	3fdc71c71c71c71c
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	bff0000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	bff0000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	bff0000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	bff0000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	bfe8000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	bfe8000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	bfe8000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	bfe8000000000000	3fe0000000000000
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	bfe8000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	bfe8000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	bfe8000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	bfe8000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	bfe0000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	bfe0000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	bfe0000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	bfe0000000000000	3fe1c71c71c71c72
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	bfe0000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	bfe0000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	bfe0000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	bfe0000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	bfd0000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	bfd0000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	bfd0000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	bfd0000000000000	3fe38e38e38e38e4
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	bfd0000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	bfd0000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	bfd0000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	bfd0000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	0000000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	0000000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	0000000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	0000000000000000	3fe5555555555555
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	0000000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	0000000000000000	3ff0000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	0000000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	0000000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	3fd0000000000000	3fa999999999999a
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	3fd0000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	3fd0000000000000	3fa999999999999a
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	3fd0000000000000	3fe71c71c71c71c7
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	3fd0000000000000	3fc0000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	3fd0000000000000	3ff0000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	3fd0000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	3fd0000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	3fe0000000000000	3fb999999999999a
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	3fe0000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	3fe0000000000000	3fb999999999999a
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	3fe0000000000000	3fe8e38e38e38e39
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	3fe0000000000000	3fd0000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	3fe0000000000000	3ff0000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	3fe0000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	3fe0000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	3fe8000000000000	3fc3333333333333
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	3fe8000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	3fe8000000000000	3fc3333333333333
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	3fe8000000000000	3feaaaaaaaaaaaab
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	3fe8000000000000	3fd8000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	3fe8000000000000	3ff0000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	3fe8000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	3fe8000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	3ff0000000000000	3fc999999999999a
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	3ff0000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	3ff0000000000000	3fc999999999999a
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	3ff0000000000000	3fec71c71c71c71c
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	3ff0000000000000	3fe0000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	3ff0000000000000	3ff0000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	3ff0000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	3ff0000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	3ff4000000000000	3fd0000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	3ff4000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	3ff4000000000000	3fd0000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	3ff4000000000000	3fee38e38e38e38e
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	3ff4000000000000	3fe4000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	3ff4000000000000	3ff0000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	3ff4000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	3ff4000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	3ff8000000000000	3fd3333333333333
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	3ff8000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	3ff8000000000000	3fd3333333333333
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	3ff8000000000000	3ff0000000000000
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	3ff8000000000000	3fe8000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	3ff8000000000000	3ff0000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	3ff8000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	3ff8000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	3ffc000000000000	3fd6666666666666
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	3ffc000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	3ffc000000000000	3fd6666666666666
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	3ffc000000000000	3fee8ba2e8ba2e8c
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	3ffc000000000000	3fec000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	3ffc000000000000	3ff0000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	3ffc000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	3ffc000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	4000000000000000	3fd999999999999a
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	4000000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	4000000000000000	3fd999999999999a
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	4000000000000000	3fed1745d1745d17
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	4000000000000000	3ff0000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	4000000000000000	3ff0000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	4000000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	4000000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	4002000000000000	3fdccccccccccccd
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	4002000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	4002000000000000	3fdccccccccccccd
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	4002000000000000	3feba2e8ba2e8ba3
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	4002000000000000	3ff0000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	4002000000000000	3fed555555555555
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	4002000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	4002000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	4004000000000000	3fe0000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	4004000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	4004000000000000	3fe0000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	4004000000000000	3fea2e8ba2e8ba2f
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	4004000000000000	3ff0000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	4004000000000000	3feaaaaaaaaaaaab
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	4004000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	4004000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	4006000000000000	3fe199999999999a
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	4006000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	4006000000000000	3fe199999999999a
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	4006000000000000	3fe8ba2e8ba2e8ba
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	4006000000000000	3ff0000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	4006000000000000	3fe8000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	4006000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	4006000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	4008000000000000	3fe3333333333333
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	4008000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	4008000000000000	3fe3333333333333
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	4008000000000000	3fe745d1745d1746
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	4008000000000000	3ff0000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	4008000000000000	3fe5555555555555
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	4008000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	4008000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	400a000000000000	3fe4cccccccccccd
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	400a000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	400a000000000000	3fe4cccccccccccd
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	400a000000000000	3fe5d1745d1745d1
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	400a000000000000	3ff0000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	400a000000000000	3fe2aaaaaaaaaaab
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	400a000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	400a000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	400c000000000000	3fe6666666666666
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	400c000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	400c000000000000	3fe6666666666666
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	400c000000000000	3fe45d1745d1745d
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	400c000000000000	3ff0000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	400c000000000000	3fe0000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	400c000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	400c000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	400e000000000000	3fe8000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	400e000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	400e000000000000	3fe8000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	400e000000000000	3fe2e8ba2e8ba2e9
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	400e000000000000	3ff0000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	400e000000000000	3fdaaaaaaaaaaaab
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	400e000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	400e000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	4010000000000000	3fe999999999999a
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	4010000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	4010000000000000	3fe999999999999a
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	4010000000000000	3fe1745d1745d174
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	4010000000000000	3ff0000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	4010000000000000	3fd5555555555555
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	4010000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	4010000000000000	3ff0000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	4011000000000000	3feb333333333333
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	4011000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	4011000000000000	3feb333333333333
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	4011000000000000	3fe0000000000000
